customer_id,age,gender,city,education_level,job_type,income_range,registration_date,has_smartphone,credit_score,referral_source
CUST_00001,55,Male,Semarang,High School,Employee,2M-5M,2024-01-13,True,723,Search Engine
CUST_00002,38,Male,Yogyakarta,Bachelor,Employee,5M-10M,2024-08-10,True,596,Partner
CUST_00003,40,Male,Semarang,Bachelor,Self-Employed,5M-10M,2023-08-17,True,660,Advertisement
CUST_00004,43,Male,Medan,Master,Employee,<2M,2023-11-24,True,537,Search Engine
CUST_00005,46,Male,Medan,Master,Self-Employed,2M-5M,2023-07-10,False,573,Social Media
CUST_00006,18,Female,Yogyakarta,Bachelor,Student,<2M,2024-05-16,True,568,Word of Mouth
CUST_00007,30,Female,Makassar,Master,Self-Employed,2M-5M,2024-06-08,True,713,Word of Mouth
CUST_00008,29,Female,Palembang,High School,Employee,5M-10M,2024-06-09,True,506,Word of Mouth
CUST_00009,33,Male,Medan,Bachelor,Student,2M-5M,2024-03-18,True,667,Word of Mouth
CUST_00010,51,Female,Makassar,PhD,Employee,<2M,2025-04-19,True,850,Partner
CUST_00011,19,Male,Makassar,Bachelor,Freelancer,2M-5M,2024-03-03,False,542,Partner
CUST_00012,36,Male,Yogyakarta,Bachelor,Student,2M-5M,2024-09-14,True,585,Word of Mouth
CUST_00013,49,Female,Bandung,High School,Self-Employed,5M-10M,2024-04-26,True,651,Partner
CUST_00014,22,Female,Yogyakarta,High School,Freelancer,2M-5M,2024-05-28,False,719,Word of Mouth
CUST_00015,18,Male,Surabaya,Bachelor,Student,2M-5M,2024-06-03,True,649,Word of Mouth
CUST_00016,26,Male,Yogyakarta,Bachelor,Self-Employed,2M-5M,2025-05-04,True,639,Advertisement
CUST_00017,54,Male,Medan,Master,Employee,2M-5M,2024-09-16,True,520,Word of Mouth
CUST_00018,43,Female,Yogyakarta,Bachelor,Self-Employed,2M-5M,2024-01-22,True,688,Search Engine
CUST_00019,47,Female,Medan,Master,Freelancer,10M-20M,2023-06-29,True,659,Advertisement
CUST_00020,40,Female,Bandung,Bachelor,Self-Employed,2M-5M,2024-07-03,True,525,Advertisement
CUST_00021,51,Male,Yogyakarta,PhD,Employee,>20M,2023-11-16,True,605,Word of Mouth
CUST_00022,27,Male,Medan,Bachelor,Employee,<2M,2024-04-06,True,757,Social Media
CUST_00023,36,Female,Surabaya,Master,Student,5M-10M,2023-09-24,True,660,Social Media
CUST_00024,20,Male,Medan,Bachelor,Student,<2M,2023-11-25,False,581,Partner
CUST_00025,39,Male,Medan,High School,Employee,5M-10M,2025-02-08,True,635,Word of Mouth
CUST_00026,36,Male,Bandung,High School,Student,2M-5M,2024-11-24,True,510,Partner
CUST_00027,36,Male,Surabaya,Bachelor,Freelancer,2M-5M,2023-10-11,True,839,Partner
CUST_00028,49,Male,Surabaya,Bachelor,Employee,10M-20M,2024-06-20,True,523,Word of Mouth
CUST_00029,50,Male,Medan,High School,Employee,5M-10M,2025-03-07,True,444,Word of Mouth
CUST_00030,35,Male,Yogyakarta,Bachelor,Employee,10M-20M,2024-01-22,True,554,Search Engine
CUST_00031,35,Female,Medan,Bachelor,Self-Employed,5M-10M,2023-07-29,True,630,Search Engine
CUST_00032,18,Male,Medan,High School,Employee,2M-5M,2024-03-06,True,653,Search Engine
CUST_00033,43,Male,Makassar,Bachelor,Self-Employed,5M-10M,2024-10-19,True,644,Social Media
CUST_00034,32,Female,Jakarta,Master,Employee,5M-10M,2025-01-06,True,596,Partner
CUST_00035,42,Male,Medan,PhD,Self-Employed,2M-5M,2024-03-05,True,505,Partner
CUST_00036,24,Male,Palembang,Bachelor,Employee,2M-5M,2023-12-17,True,613,Partner
CUST_00037,24,Female,Bandung,High School,Employee,<2M,2024-05-25,True,668,Social Media
CUST_00038,37,Male,Bandung,Bachelor,Self-Employed,>20M,2024-02-22,True,661,Advertisement
CUST_00039,40,Female,Yogyakarta,PhD,Employee,<2M,2024-06-28,True,683,Search Engine
CUST_00040,44,Female,Makassar,Bachelor,Employee,10M-20M,2024-02-19,True,712,Social Media
CUST_00041,25,Female,Palembang,High School,Employee,5M-10M,2025-01-06,True,602,Word of Mouth
CUST_00042,44,Male,Jakarta,Bachelor,Self-Employed,5M-10M,2023-12-08,True,612,Social Media
CUST_00043,48,Male,Surabaya,Bachelor,Employee,5M-10M,2024-08-02,True,548,Partner
CUST_00044,61,Male,Surabaya,Bachelor,Freelancer,10M-20M,2024-12-19,True,562,Partner
CUST_00045,31,Female,Bandung,High School,Employee,5M-10M,2024-08-09,True,681,Social Media
CUST_00046,31,Male,Medan,Bachelor,Employee,5M-10M,2023-11-29,True,431,Partner
CUST_00047,48,Female,Bandung,High School,Freelancer,2M-5M,2024-03-18,True,525,Word of Mouth
CUST_00048,19,Female,Semarang,High School,Employee,<2M,2023-10-21,True,481,Search Engine
CUST_00049,33,Male,Palembang,Bachelor,Employee,5M-10M,2023-07-26,True,714,Advertisement
CUST_00050,22,Male,Medan,High School,Student,2M-5M,2024-06-17,True,547,Advertisement
CUST_00051,27,Female,Yogyakarta,High School,Employee,5M-10M,2024-09-18,True,515,Advertisement
CUST_00052,39,Male,Yogyakarta,High School,Self-Employed,10M-20M,2023-06-17,True,600,Social Media
CUST_00053,18,Female,Medan,High School,Student,2M-5M,2024-08-23,True,661,Partner
CUST_00054,30,Female,Semarang,High School,Employee,2M-5M,2024-12-22,True,679,Word of Mouth
CUST_00055,33,Male,Yogyakarta,High School,Self-Employed,2M-5M,2025-02-02,True,763,Advertisement
CUST_00056,37,Female,Semarang,Bachelor,Employee,2M-5M,2024-08-28,False,584,Search Engine
CUST_00057,23,Male,Palembang,High School,Freelancer,<2M,2024-04-30,True,580,Word of Mouth
CUST_00058,24,Female,Makassar,Bachelor,Freelancer,2M-5M,2025-01-25,True,642,Social Media
CUST_00059,50,Female,Jakarta,Master,Employee,5M-10M,2023-09-24,True,585,Advertisement
CUST_00060,31,Male,Palembang,High School,Employee,5M-10M,2023-06-22,True,523,Search Engine
CUST_00061,28,Male,Yogyakarta,High School,Employee,2M-5M,2024-08-09,True,665,Partner
CUST_00062,25,Male,Palembang,Bachelor,Employee,5M-10M,2024-08-07,True,577,Partner
CUST_00063,35,Male,Medan,High School,Self-Employed,5M-10M,2023-07-18,True,634,Word of Mouth
CUST_00064,31,Female,Bandung,Bachelor,Self-Employed,>20M,2024-11-21,True,711,Search Engine
CUST_00065,18,Male,Makassar,Bachelor,Student,5M-10M,2025-01-18,True,620,Advertisement
CUST_00066,34,Male,Jakarta,Bachelor,Employee,2M-5M,2023-10-26,True,415,Search Engine
CUST_00067,46,Female,Bandung,High School,Self-Employed,10M-20M,2024-12-17,True,737,Advertisement
CUST_00068,26,Male,Palembang,Bachelor,Employee,2M-5M,2024-09-27,True,646,Word of Mouth
CUST_00069,37,Male,Medan,Bachelor,Freelancer,2M-5M,2024-12-31,True,850,Partner
CUST_00070,31,Male,Palembang,Bachelor,Employee,>20M,2023-06-14,True,599,Social Media
CUST_00071,19,Male,Semarang,High School,Freelancer,<2M,2024-01-08,True,653,Search Engine
CUST_00072,45,Female,Yogyakarta,High School,Self-Employed,2M-5M,2024-05-18,False,804,Partner
CUST_00073,31,Male,Semarang,High School,Employee,<2M,2024-02-05,True,778,Search Engine
CUST_00074,33,Female,Yogyakarta,High School,Employee,2M-5M,2023-07-25,True,759,Word of Mouth
CUST_00075,36,Female,Medan,Bachelor,Self-Employed,10M-20M,2025-03-03,True,654,Search Engine
CUST_00076,18,Male,Bandung,High School,Employee,2M-5M,2024-06-08,True,649,Search Engine
CUST_00077,38,Female,Surabaya,PhD,Employee,2M-5M,2025-03-19,True,845,Social Media
CUST_00078,26,Female,Yogyakarta,Master,Employee,2M-5M,2023-06-21,False,750,Partner
CUST_00079,34,Male,Makassar,Bachelor,Employee,2M-5M,2023-12-11,True,818,Advertisement
CUST_00080,55,Female,Jakarta,Bachelor,Self-Employed,>20M,2023-12-26,True,702,Partner
CUST_00081,30,Male,Semarang,Bachelor,Self-Employed,5M-10M,2024-01-09,True,465,Advertisement
CUST_00082,55,Female,Jakarta,Master,Self-Employed,2M-5M,2024-08-25,True,605,Partner
CUST_00083,26,Female,Makassar,Master,Employee,5M-10M,2023-11-03,True,850,Social Media
CUST_00084,19,Male,Makassar,High School,Employee,<2M,2024-05-16,True,655,Word of Mouth
CUST_00085,24,Female,Yogyakarta,High School,Freelancer,<2M,2024-10-29,True,850,Word of Mouth
CUST_00086,34,Female,Semarang,Bachelor,Employee,2M-5M,2025-01-26,True,800,Search Engine
CUST_00087,33,Male,Bandung,High School,Employee,2M-5M,2024-10-16,True,719,Search Engine
CUST_00088,30,Female,Medan,Master,Employee,5M-10M,2024-05-05,True,544,Partner
CUST_00089,38,Female,Jakarta,High School,Student,10M-20M,2024-02-02,True,635,Partner
CUST_00090,27,Female,Yogyakarta,Bachelor,Employee,<2M,2023-11-22,True,778,Social Media
CUST_00091,39,Female,Yogyakarta,Bachelor,Student,10M-20M,2023-12-05,False,758,Search Engine
CUST_00092,26,Male,Jakarta,Bachelor,Employee,2M-5M,2024-01-31,True,771,Search Engine
CUST_00093,70,Male,Semarang,Bachelor,Employee,2M-5M,2023-07-03,False,692,Social Media
CUST_00094,40,Female,Surabaya,Bachelor,Employee,10M-20M,2024-04-25,True,532,Search Engine
CUST_00095,23,Female,Semarang,Bachelor,Employee,<2M,2023-08-24,True,828,Search Engine
CUST_00096,19,Female,Surabaya,High School,Employee,<2M,2023-12-13,True,578,Partner
CUST_00097,35,Male,Bandung,High School,Freelancer,5M-10M,2024-02-24,True,725,Social Media
CUST_00098,23,Male,Surabaya,High School,Employee,<2M,2024-08-05,True,761,Word of Mouth
CUST_00099,40,Female,Surabaya,High School,Employee,10M-20M,2024-09-07,True,811,Social Media
CUST_00100,25,Female,Surabaya,Bachelor,Employee,10M-20M,2024-08-25,True,581,Partner
CUST_00101,21,Male,Makassar,High School,Freelancer,5M-10M,2024-11-15,True,685,Social Media
CUST_00102,24,Female,Yogyakarta,High School,Employee,2M-5M,2023-09-26,True,780,Word of Mouth
CUST_00103,29,Male,Makassar,Master,Employee,2M-5M,2025-04-02,True,520,Social Media
CUST_00104,39,Male,Makassar,High School,Self-Employed,5M-10M,2024-01-23,True,650,Word of Mouth
CUST_00105,18,Female,Surabaya,Bachelor,Student,2M-5M,2024-10-06,True,699,Social Media
CUST_00106,51,Male,Surabaya,Master,Student,5M-10M,2024-01-24,True,498,Social Media
CUST_00107,32,Female,Medan,High School,Employee,2M-5M,2024-11-24,False,517,Word of Mouth
CUST_00108,18,Female,Palembang,High School,Student,2M-5M,2024-09-14,False,648,Partner
CUST_00109,59,Female,Palembang,Master,Self-Employed,5M-10M,2025-02-17,True,476,Word of Mouth
CUST_00110,35,Female,Medan,High School,Self-Employed,5M-10M,2024-09-02,True,705,Social Media
