customer_id,product_name,signup_date,status,monthly_fee,usage_frequency
CUST_00001,Basic Account,2024-01-13,Active,0,46
CUST_00001,Loan,2024-07-02,Active,50000,11
CUST_00002,Basic Account,2024-08-10,Active,0,21
CUST_00002,Loan,2025-02-23,Active,50000,19
CUST_00003,Basic Account,2023-08-17,Active,0,46
CUST_00003,Investment,2023-10-28,Active,0,2
CUST_00003,Loan,2023-10-27,Active,50000,7
CUST_00004,Basic Account,2023-11-24,Active,0,29
CUST_00005,Basic Account,2023-07-10,Active,0,15
CUST_00005,Investment,2023-12-24,Active,0,1
CUST_00006,Basic Account,2024-05-16,Active,0,37
CUST_00006,Investment,2025-02-18,Active,0,5
CUST_00006,Loan,2024-07-04,Inactive,100000,0
CUST_00007,Basic Account,2024-06-08,Active,0,44
CUST_00007,Credit Card,2025-03-19,Active,10000,11
CUST_00007,Insurance,2025-02-20,Inactive,25000,9
CUST_00007,Premium Account,2024-12-07,Active,25000,19
CUST_00008,Basic Account,2024-06-09,Active,0,14
CUST_00009,Basic Account,2024-03-18,Active,0,17
CUST_00010,Basic Account,2025-04-19,Active,0,48
CUST_00011,Basic Account,2024-03-03,Active,0,41
CUST_00011,Premium Account,2024-04-29,Active,50000,14
CUST_00012,Basic Account,2024-09-14,Active,0,26
CUST_00012,Loan,2025-06-05,Active,50000,19
CUST_00013,Basic Account,2024-04-26,Active,0,16
CUST_00013,Investment,2024-08-04,Active,0,19
CUST_00013,Loan,2024-11-01,Active,10000,17
CUST_00013,Credit Card,2024-06-20,Active,0,20
CUST_00014,Basic Account,2024-05-28,Active,0,45
CUST_00015,Basic Account,2024-06-03,Active,0,35
CUST_00015,Premium Account,2025-01-06,Active,100000,6
CUST_00015,Credit Card,2024-09-27,Active,0,6
CUST_00015,Investment,2024-11-15,Inactive,50000,17
CUST_00016,Basic Account,2025-05-04,Active,0,49
CUST_00017,Basic Account,2024-09-16,Active,0,31
CUST_00017,Insurance,2025-02-04,Active,10000,7
CUST_00018,Basic Account,2024-01-22,Active,0,6
CUST_00019,Basic Account,2023-06-29,Active,0,17
CUST_00020,Basic Account,2024-07-03,Active,0,5
CUST_00020,Credit Card,2025-01-26,Inactive,10000,3
CUST_00020,Insurance,2025-03-14,Active,100000,2
CUST_00021,Basic Account,2023-11-16,Active,0,22
CUST_00021,Credit Card,2024-01-19,Active,100000,20
CUST_00021,Investment,2024-02-05,Closed,100000,11
CUST_00022,Basic Account,2024-04-06,Active,0,35
CUST_00022,Insurance,2024-10-28,Closed,25000,14
CUST_00023,Basic Account,2023-09-24,Active,0,16
CUST_00023,Investment,2023-12-03,Inactive,10000,12
CUST_00024,Basic Account,2023-11-25,Active,0,25
CUST_00025,Basic Account,2025-02-08,Active,0,23
CUST_00026,Basic Account,2024-11-24,Active,0,40
CUST_00026,Investment,2025-05-13,Closed,0,0
CUST_00026,Premium Account,2025-03-30,Active,0,1
CUST_00027,Basic Account,2023-10-11,Active,0,24
CUST_00027,Investment,2024-04-20,Active,100000,19
CUST_00027,Premium Account,2023-12-11,Inactive,100000,17
CUST_00027,Insurance,2023-12-20,Inactive,100000,6
CUST_00028,Basic Account,2024-06-20,Active,0,26
CUST_00028,Investment,2024-08-09,Active,50000,17
CUST_00029,Basic Account,2025-03-07,Active,0,29
CUST_00029,Investment,2025-05-18,Active,0,12
CUST_00030,Basic Account,2024-01-22,Active,0,26
CUST_00030,Insurance,2024-04-04,Closed,50000,1
CUST_00030,Premium Account,2024-07-06,Active,100000,7
CUST_00030,Investment,2024-03-10,Active,0,2
CUST_00031,Basic Account,2023-07-29,Active,0,34
CUST_00031,Loan,2023-12-26,Inactive,10000,7
CUST_00032,Basic Account,2024-03-06,Active,0,17
CUST_00032,Premium Account,2024-08-16,Active,10000,11
CUST_00032,Investment,2024-12-21,Inactive,100000,1
CUST_00033,Basic Account,2024-10-19,Active,0,43
CUST_00034,Basic Account,2025-01-06,Active,0,37
CUST_00035,Basic Account,2024-03-05,Active,0,33
CUST_00035,Investment,2024-08-17,Active,100000,15
CUST_00035,Loan,2024-06-17,Closed,50000,14
CUST_00036,Basic Account,2023-12-17,Active,0,16
CUST_00036,Credit Card,2024-06-19,Active,25000,8
CUST_00036,Insurance,2024-08-16,Active,50000,5
CUST_00036,Loan,2024-05-01,Active,0,12
CUST_00037,Basic Account,2024-05-25,Active,0,30
CUST_00037,Insurance,2025-02-17,Active,0,14
CUST_00037,Loan,2024-12-01,Active,10000,11
CUST_00038,Basic Account,2024-02-22,Active,0,8
CUST_00038,Loan,2024-10-08,Inactive,10000,4
CUST_00039,Basic Account,2024-06-28,Active,0,46
CUST_00039,Premium Account,2025-02-06,Active,50000,10
CUST_00039,Credit Card,2024-12-31,Active,25000,15
CUST_00039,Investment,2025-04-15,Inactive,100000,14
CUST_00040,Basic Account,2024-02-19,Active,0,41
CUST_00040,Insurance,2024-04-30,Active,100000,4
CUST_00041,Basic Account,2025-01-06,Active,0,32
CUST_00041,Loan,2025-05-30,Active,25000,3
CUST_00042,Basic Account,2023-12-08,Active,0,40
CUST_00042,Credit Card,2024-04-08,Active,50000,12
CUST_00042,Loan,2024-04-28,Closed,25000,18
CUST_00042,Insurance,2024-08-26,Active,50000,16
CUST_00043,Basic Account,2024-08-02,Active,0,10
CUST_00043,Insurance,2025-03-02,Active,0,0
CUST_00044,Basic Account,2024-12-19,Active,0,27
CUST_00045,Basic Account,2024-08-09,Active,0,18
CUST_00046,Basic Account,2023-11-29,Active,0,44
CUST_00047,Basic Account,2024-03-18,Active,0,40
CUST_00047,Premium Account,2024-10-02,Active,10000,16
CUST_00047,Investment,2024-08-31,Inactive,50000,18
CUST_00047,Loan,2024-09-30,Inactive,25000,2
CUST_00048,Basic Account,2023-10-21,Active,0,9
CUST_00048,Loan,2024-06-02,Closed,100000,2
CUST_00048,Premium Account,2024-02-27,Active,100000,11
CUST_00049,Basic Account,2023-07-26,Active,0,15
CUST_00049,Premium Account,2024-01-15,Active,100000,2
CUST_00050,Basic Account,2024-06-17,Active,0,21
CUST_00050,Insurance,2025-02-24,Active,50000,8
CUST_00050,Premium Account,2024-08-28,Active,0,12
CUST_00051,Basic Account,2024-09-18,Active,0,13
CUST_00051,Insurance,2025-03-29,Active,10000,20
CUST_00052,Basic Account,2023-06-17,Active,0,47
CUST_00052,Investment,2024-04-04,Active,25000,8
CUST_00052,Insurance,2023-09-09,Active,10000,2
CUST_00053,Basic Account,2024-08-23,Active,0,38
CUST_00054,Basic Account,2024-12-22,Active,0,24
CUST_00054,Credit Card,2025-06-05,Active,50000,5
CUST_00054,Investment,2025-02-17,Active,0,16
CUST_00055,Basic Account,2025-02-02,Active,0,26
CUST_00056,Basic Account,2024-08-28,Active,0,25
CUST_00057,Basic Account,2024-04-30,Active,0,50
CUST_00057,Loan,2024-06-07,Active,10000,19
CUST_00057,Premium Account,2024-12-22,Inactive,10000,14
CUST_00058,Basic Account,2025-01-25,Active,0,32
CUST_00059,Basic Account,2023-09-24,Active,0,42
CUST_00059,Loan,2024-06-21,Closed,10000,11
CUST_00060,Basic Account,2023-06-22,Active,0,44
