ticket_id,customer_id,issue_type,priority,created_date,resolution_status,resolution_time_hours,satisfaction_rating,channel
TICK_00001,CUST_09248,Product Inquiry,Medium,2025-03-11,Escalated,4.2,3.0,In-App
TICK_00002,CUST_01245,Product Inquiry,Critical,2024-02-11,Resolved,6.8,3.0,Phone
TICK_00003,CUST_02823,Billing,Low,2024-04-23,Closed,5.6,,Email
TICK_00004,CUST_07643,Feature Request,High,2025-02-04,Escalated,1.8,,In-App
TICK_00005,CUST_01988,Feature Request,Critical,2023-07-28,Escalated,13.3,,In-App
TICK_00006,CUST_06007,Product Inquiry,Medium,2024-11-30,Resolved,22.3,3.0,In-App
TICK_00007,CUST_05477,Complaint,Medium,2024-12-10,Escalated,1.3,3.0,Chat
TICK_00008,CUST_02816,Technical,Medium,2024-08-19,Resolved,71.9,4.0,Phone
TICK_00009,CUST_02942,Product Inquiry,Medium,2024-07-08,Escalated,32.3,4.0,Chat
TICK_00010,CUST_09841,Feature Request,Medium,2024-06-21,Escalated,16.8,5.0,Phone
TICK_00011,CUST_07714,Feature Request,Low,2024-12-06,Closed,0.1,3.0,In-App
TICK_00012,CUST_01589,Technical,Low,2025-03-16,Escalated,9.2,3.0,Chat
TICK_00013,CUST_08641,Complaint,Low,2024-07-21,Closed,39.4,,Chat
TICK_00014,CUST_09895,Billing,Low,2023-12-18,In Progress,3.4,,Email
TICK_00015,CUST_04487,Technical,Medium,2025-03-16,Resolved,10.8,,Email
TICK_00016,CUST_00561,Complaint,High,2024-11-27,In Progress,31.8,3.0,Chat
TICK_00017,CUST_03128,Technical,High,2024-04-29,Closed,72.2,,Phone
TICK_00018,CUST_08833,Billing,Low,2025-08-26,In Progress,55.9,,In-App
TICK_00019,CUST_01167,Feature Request,High,2025-08-22,Escalated,36.2,4.0,Phone
TICK_00020,CUST_08390,Billing,Low,2025-08-29,Closed,63.5,2.0,In-App
TICK_00021,CUST_08528,Billing,Medium,2024-03-30,Resolved,30.5,1.0,Email
TICK_00022,CUST_03456,Technical,High,2025-08-04,Closed,2.4,5.0,In-App
TICK_00023,CUST_00531,Billing,High,2024-04-11,In Progress,32.1,1.0,Email
TICK_00024,CUST_08521,Product Inquiry,Low,2024-08-21,Escalated,63.1,,Chat
TICK_00025,CUST_06139,Product Inquiry,Low,2024-05-17,In Progress,37.8,4.0,Chat
TICK_00026,CUST_09349,Technical,Medium,2025-01-16,Closed,10.5,,Email
TICK_00027,CUST_01230,Billing,Low,2024-03-02,In Progress,7.6,,In-App
TICK_00028,CUST_09173,Complaint,Medium,2024-04-03,Resolved,35.1,1.0,Email
TICK_00029,CUST_00004,Technical,Medium,2023-12-28,Escalated,2.6,,Email
TICK_00030,CUST_01967,Billing,High,2023-09-28,Closed,36.3,,Phone
TICK_00031,CUST_05688,Billing,Medium,2024-05-04,Escalated,36.3,,Email
TICK_00032,CUST_01542,Feature Request,Medium,2025-01-31,Escalated,14.6,1.0,Email
TICK_00033,CUST_02586,Complaint,Low,2024-04-06,Escalated,28.1,,Phone
TICK_00034,CUST_02839,Product Inquiry,Medium,2023-12-16,Closed,15.0,4.0,In-App
TICK_00035,CUST_04073,Complaint,High,2024-07-05,Escalated,59.6,4.0,Email
TICK_00036,CUST_04731,Feature Request,Low,2024-07-27,Resolved,39.9,3.0,Chat
TICK_00037,CUST_03758,Technical,Medium,2025-09-20,Escalated,63.1,3.0,In-App
TICK_00038,CUST_05389,Feature Request,Medium,2024-02-23,Escalated,21.8,5.0,Chat
TICK_00039,CUST_03774,Feature Request,Low,2025-05-26,In Progress,35.7,,Phone
TICK_00040,CUST_00910,Billing,Low,2025-09-17,Escalated,40.6,,Chat
TICK_00041,CUST_04487,Feature Request,Medium,2025-04-05,Escalated,1.2,4.0,Chat
TICK_00042,CUST_00352,Technical,Low,2023-10-07,Resolved,2.7,2.0,Chat
TICK_00043,CUST_04782,Product Inquiry,Low,2023-09-06,In Progress,42.0,,In-App
TICK_00044,CUST_02426,Product Inquiry,High,2024-04-05,Closed,21.3,3.0,Chat
TICK_00045,CUST_08935,Product Inquiry,Critical,2025-02-25,Resolved,2.1,,Chat
TICK_00046,CUST_06987,Product Inquiry,Medium,2024-04-18,Escalated,68.3,4.0,Email
TICK_00047,CUST_03733,Feature Request,Medium,2024-10-18,Resolved,10.2,5.0,Email
TICK_00048,CUST_02357,Billing,Critical,2024-09-28,Resolved,11.8,1.0,In-App
TICK_00049,CUST_05727,Product Inquiry,Medium,2025-04-14,In Progress,53.1,,Chat
TICK_00050,CUST_01014,Billing,Low,2024-08-28,In Progress,69.1,,Chat
TICK_00051,CUST_00560,Complaint,Low,2023-12-12,In Progress,11.6,,In-App
TICK_00052,CUST_00663,Feature Request,High,2024-10-10,In Progress,5.6,,Email
TICK_00053,CUST_01332,Billing,Medium,2023-11-03,In Progress,9.2,2.0,Email
TICK_00054,CUST_03028,Technical,Medium,2024-09-01,Escalated,28.0,5.0,Phone
TICK_00055,CUST_09931,Complaint,Low,2024-04-28,In Progress,0.2,,Chat
